Fuel_consumption,Accelerator_Pedal_value,Throttle_position_signal,Short_Term_Fuel_Trim_Bank1,Intake_air_pressure,Filtered_Accelerator_Pedal_value,Absolute_throttle_position,Engine_soacking_time,Inhibition_of_engine_fuel_cut_off,Engine_in_fuel_cut_off,Fuel_Pressure,Long_Term_Fuel_Trim_Bank1,Engine_speed,Engine_torque_after_correction,Torque_of_friction,Flywheel_torque_(after_torque_interventions),Current_spark_timing,Engine_coolant_temperature,Engine_Idel_Target_Speed,Engine_torque,Calculated_LOAD_value,Minimum_indicated_engine_torque,Maximum_indicated_engine_torque,Flywheel_torque,Torque_scaling_factor(standardization),Standard_Torque_Ratio,Requested_spark_retard_angle_from_TCU,TCU_requests_engine_torque_limit_(ETL),TCU_requested_engine_RPM_increase,Target_engine_speed_used_in_lock-up_module,Glow_plug_control_request,Activation_of_Air_compressor,Torque_converter_speed,Current_Gear,Transmission_oil_temperature,Wheel_velocity_front_left-hand,Wheel_velocity_rear_right-hand,Wheel_velocity_front_right-hand,Wheel_velocity_rear_left-hand,Torque_converter_turbine_speed_-_Unfiltered,Clutch_operation_acknowledge,Converter_clutch,Gear_Selection,Vehicle_speed,Acceleration_speed_-_Longitudinal,Indication_of_brake_switch_ON_OFF,Master_cylinder_pressure,Calculated_road_gradient,Acceleration_speed_-_Lateral,Steering_wheel_speed,Steering_wheel_angle,Trip,Time(s)
640,0,6.6,0,0,0,14.5,3,0,0,0,2.3,1206,16.4,10.2,-16,-7.5,91,630,14.8,45.5,2.3,64.8,-16,230,1,15,508,0,3040,0,0,1116,0,82,0,0,0,0,1129.3,1,0,0,0,0,2,44,0,-6.2,304,11.6,1,1
307.2,0,6.1,0,0,0,13.7,3,0,0,0,3.9,1042,5.9,10.2,-8.1,-5.6,91,650,5.5,22,2,62.9,-7.9,230,1,15,508,0,3040,0,0,1049.3,0,82,0,0,0,0,1045,1,0,0,0,-6.4,2,200.7,0,-6.3,0,12,1,2
268.8,0,6.6,0,0,0,14.1,3,0,0,0,3.9,799,6.6,9,-2.3,-9.8,91,670,6.6,27.8,2,57.4,-2.6,230,1,15,508,0,3040,0,0,777.8,0,82,0,0,0,0,776.8,1,0,0,0,-0.2,2,61,0,-0.1,0,11.7,1,3
243.2,0,5.7,0,0,0,13.7,3,0,0,0,3.9,712,6.3,9,-4.3,-13.9,91,670,6.3,30.2,2,55.9,-4.5,230,1,15,508,0,3040,0,0,687.8,0,82,0,0,0,0,687.8,1,0,0,0,-0.2,2,59.5,0,-0.1,0,12,1,4
243.2,0,5.7,0,0,0,13.7,3,0,0,0,4.7,703,6.6,10.2,-13.9,-11.3,91,670,7,29,2,55.5,-13.8,230,1,15,508,0,3040,0,1,677.3,0,82,0,0,0,0,678,1,0,0,0,-0.2,2,58.4,0,-0.1,0,12,1,5
243.2,0,5.7,0,0,0,13.7,3,0,0,0,4.7,707,8.2,14.1,-8.9,-8.3,91,670,7.8,29,2,55.9,-8.9,230,1,15,508,0,3040,0,1,684.5,0,82,0,0,0,0,684.5,1,0,0,0,-0.2,2,58.4,0,-0.1,0,12,1,6
243.2,0,6.6,0,0,0,14.1,3,0,0,0,3.9,658,11.7,14.5,0.4,-2.6,91,670,11.7,32.5,2,54.7,0.4,230,1,15,508,0,3040,0,1,634,0,82,0,0,0,0,634.3,1,0,0,0,-0.2,2,58.6,0,-0.1,0,13.7,1,7
281.6,0,6.6,0,0,0,14.5,3,0,0,0,3.9,607,19.1,16.4,7.6,2.6,90,670,19.1,42.4,2,54.7,7.7,230,1,15,508,0,3040,0,1,583.5,0,82,0,0,0,0,583.8,1,0,0,0,-0.2,2,58.4,0,0,0,13,1,8
332.8,0,7.5,0,0,0,14.9,3,0,0,0,3.9,649,20.7,18.4,4,-0.4,90,670,20.7,47.1,2,54.7,4.7,230,1,15,508,0,3040,0,1,616.3,14,82,0,0,0,0,616.8,1,0,7,0,-0.2,2,58,0,-0.1,0,13,1,9
448,0,8,0,0,0,15.7,3,0,0,0,3.1,675,24.2,19.9,6.2,-5.6,90,670,24.2,57.3,2,55.1,6.7,230,1,15,508,0,3040,0,1,207,14,82,0,0,0,0,207.8,1,0,7,0,-0.2,2,53.4,0,0,0,10.2,1,10
