Fuel_consumption,Accelerator_Pedal_value,Throttle_position_signal,Short_Term_Fuel_Trim_Bank1,Intake_air_pressure,Filtered_Accelerator_Pedal_value,Absolute_throttle_position,Engine_soacking_time,Inhibition_of_engine_fuel_cut_off,Engine_in_fuel_cut_off,Fuel_Pressure,Long_Term_Fuel_Trim_Bank1,Engine_speed,Engine_torque_after_correction,Torque_of_friction,Flywheel_torque_(after_torque_interventions),Current_spark_timing,Engine_coolant_temperature,Engine_Idel_Target_Speed,Engine_torque,Calculated_LOAD_value,Minimum_indicated_engine_torque,Maximum_indicated_engine_torque,Flywheel_torque,Torque_scaling_factor(standardization),Standard_Torque_Ratio,Requested_spark_retard_angle_from_TCU,TCU_requests_engine_torque_limit_(ETL),TCU_requested_engine_RPM_increase,Target_engine_speed_used_in_lock-up_module,Glow_plug_control_request,Activation_of_Air_compressor,Torque_converter_speed,Current_Gear,Transmission_oil_temperature,Wheel_velocity_front_left-hand,Wheel_velocity_rear_right-hand,Wheel_velocity_front_right-hand,Wheel_velocity_rear_left-hand,Torque_converter_turbine_speed_-_Unfiltered,Clutch_operation_acknowledge,Converter_clutch,Gear_Selection,Vehicle_speed,Acceleration_speed_-_Longitudinal,Indication_of_brake_switch_ON_OFF,Master_cylinder_pressure,Calculated_road_gradient,Acceleration_speed_-_Lateral,Steering_wheel_speed,Steering_wheel_angle,Trip,Time(s)
678.4,0,6.1,0,48,0,14.1,2,0,0,0,3.9,1407,9.8,10.5,-16.2,-9.4,91,630,9.8,35.7,2,70.7,-16.2,230,1,15,508,0,3040,0,0,1376.5,0,77,0,0,0,0,1385.3,1,0,0,0,-0.1,1,2.4,0,-3.9,76,-25.9,1,1
294.4,0,6.1,0,31,0,14.1,2,0,0,0,6.3,1026,5.9,10.2,-8,-4.9,91,650,5.9,21.2,2,64.1,-7.8,230,1,15,508,0,3040,0,0,1028.5,0,77,0,0,0,0,1024.5,1,0,0,0,-2.8,1,179.5,0,-2.8,0,-25.9,1,2
268.8,0,6.1,0,37,0,14.5,2,0,0,0,7,807,6.3,9.4,-9.9,-10.5,91,670,6.3,27.1,2,59,-9.7,230,1,15,508,0,3040,0,0,784.3,0,77,0,0,0,0,783.8,1,0,0,0,-0.2,1,1.1,0,-0.1,0,-25.9,1,3
256,0,5.7,0,39,0,13.7,2,0,0,0,7,721,6.3,9,-7.6,-13.5,91,670,6.3,29,2,57,-7.6,230,1,15,508,0,3040,0,1,697.3,0,77,0,0,0,0,697.3,1,0,0,0,-0.2,2,24,0,-0.2,0,-25.9,1,4
230.4,0,5.2,0,38,0,13.7,2,0,0,0,7,697,6.3,9.4,-11.4,-11.3,91,670,6.3,27.8,2,57,-11.2,230,1,15,508,0,3040,0,1,672.5,0,76,0,0,0,0,673,1,0,0,0,-0.2,2,31.8,0,-0.2,0,-25.8,1,5
217.6,0,5.2,0,37,0,13.3,2,0,0,0,7.8,713,6.6,12.1,-13.5,-9,90,670,6.6,26.7,2,57,-13.2,230,1,15,508,0,3040,0,1,687,0,76,0,0,0,0,687.5,1,0,0,0,-0.2,2,26,0,-0.1,0,-25.9,1,6
192,0,4.7,0,36,0,13.3,2,0,0,0,7.8,669,8.2,12.5,-5.6,-4.1,90,670,8.2,25.1,2,56.3,-5.6,230,1,15,508,0,3040,0,1,645.5,0,76,0,0,0,0,645.5,1,0,0,0,-0.2,2,23.2,0,-0.1,0,-25.9,1,7
192,0,4.7,0,36,0,13.3,2,0,0,0,8.6,652,10.2,12.5,-3.2,2.3,90,670,10.2,25.1,2,55.9,-2.9,230,1,15,508,0,3040,0,1,625.8,0,76,0,0,0,0,626.3,1,0,0,0,-0.2,2,22.7,0,-0.2,0,-25.9,1,8
217.6,0,6.1,0,40,0,14.1,2,0,0,0,7.8,644,13.7,13.7,0.1,6.4,90,670,13.7,29,2,55.9,0.2,230,1,15,508,0,3040,0,1,617.8,0,76,0,0,0,0,618.5,1,0,0,0,-0.2,2,22.1,0,-0.2,0,-25.7,1,9
243.2,0,6.6,0,45,0,14.1,2,0,0,0,7,640,15.6,14.5,5,5.3,90,670,15.6,33.3,2,56.3,5.3,230,1,15,508,0,3040,0,1,613.8,0,76,0,0,0,0,614,1,0,0,0,-0.2,2,21.3,0,-0.1,0,-25.9,1,10
