Fuel_consumption,Accelerator_Pedal_value,Throttle_position_signal,Short_Term_Fuel_Trim_Bank1,Intake_air_pressure,Filtered_Accelerator_Pedal_value,Absolute_throttle_position,Engine_soacking_time,Inhibition_of_engine_fuel_cut_off,Engine_in_fuel_cut_off,Fuel_Pressure,Long_Term_Fuel_Trim_Bank1,Engine_speed,Engine_torque_after_correction,Torque_of_friction,Flywheel_torque_(after_torque_interventions),Current_spark_timing,Engine_coolant_temperature,Engine_Idel_Target_Speed,Engine_torque,Calculated_LOAD_value,Minimum_indicated_engine_torque,Maximum_indicated_engine_torque,Flywheel_torque,Torque_scaling_factor(standardization),Standard_Torque_Ratio,Requested_spark_retard_angle_from_TCU,TCU_requests_engine_torque_limit_(ETL),TCU_requested_engine_RPM_increase,Target_engine_speed_used_in_lock-up_module,Glow_plug_control_request,Activation_of_Air_compressor,Torque_converter_speed,Current_Gear,Transmission_oil_temperature,Wheel_velocity_front_left-hand,Wheel_velocity_rear_right-hand,Wheel_velocity_front_right-hand,Wheel_velocity_rear_left-hand,Torque_converter_turbine_speed_-_Unfiltered,Clutch_operation_acknowledge,Converter_clutch,Gear_Selection,Vehicle_speed,Acceleration_speed_-_Longitudinal,Indication_of_brake_switch_ON/OFF,Master_cylinder_pressure,Calculated_road_gradient,Acceleration_speed_-_Lateral,Steering_wheel_speed,Steering_wheel_angle,Trip,Time(s),Driver
627.2,0,6.1,0,0,0,14.1,3,0,0,0,3.9,1276,14.1,8.2,-13.3,-7.5,96,630,13.7,42.4,2.3,64.8,-13.3,230,1,15,508,0,3040,0,0,1177.8,0,85,0,0,0,0,1191.3,1,0,0,0,0,2,53.3,0,-6.1,288,-10.5,1,1,B
294.4,0,6.1,0,0,0,14.1,3,0,0,0,3.9,1073,5.1,8.6,-7.1,-4.1,96,630,5.1,20.8,2.3,62.9,-7,230,1,15,508,0,3040,0,0,1087.5,1,85,0,0,0,0,1083.3,1,0,5,0,-7.9,2,204.9,-2,-8.1,0,-10.5,1,2,B
294.4,0,6.6,0,0,0,14.5,3,0,0,0,4.7,790,9,9,1.3,-6.8,96,630,9,31.4,2,56.3,1.2,230,1,15,508,0,3040,0,0,422.3,1,85,0,0,0,0,427.5,1,0,5,0,0,2,73.4,0,-0.2,0,-10.5,1,3,B
281.6,0,6.1,0,0,0,14.1,3,0,0,0,4.7,694,9.4,8.2,3,-10.5,96,630,9.4,35.3,2,54.7,3,230,1,15,508,0,3040,0,0,0,1,85,0,0,0,0,0,1,0,5,0,0,2,42.4,0,-0.2,0,-10.5,1,4,B
281.6,0,5.7,0,0,0,13.7,3,0,0,0,4.7,666,9.4,8.2,3.2,-11.3,96,640,9.4,36.1,2,54.3,3.1,230,1,15,508,0,3040,0,0,23.3,1,85,0,0,0,0,24.8,1,0,5,0,0.2,1,1.1,0,-0.2,0,8,1,5,B
256,0,5.7,0,0,0,13.7,3,0,0,0,4.7,708,10.2,7.8,4.9,-5.3,96,700,10.2,32.2,2,55.1,5.2,230,1,15,508,0,3040,0,0,204.3,1,85,1.3,0.1,0.1,1.3,206,1,0,5,0,0.3,1,0.9,0,-0.2,4,10.5,1,6,B
268.8,0,6.6,0,0,0,14.5,3,0,0,0,4.7,737,13.7,8.6,24.4,4.5,96,750,13.7,32.5,2,55.1,23.4,230,1,15,508,0,3040,0,0,341.5,1,85,2.3,1.9,1.8,2.1,343.3,1,0,5,1,0.2,1,0.9,0,-0.2,0,13,1,7,B
588.8,0,9.4,0,19,0,16.5,3,0,0,0,3.9,1138,27,9.8,34.9,24,95,780,27,43.9,2,62.9,34.9,230,1,15,508,0,3040,0,0,616,1,85,4,3.1,3.2,4,621,1,0,5,4,0.9,1,0.9,0,-0.1,40,61.1,1,8,B
614.4,0,9.9,0,17,0,16.9,3,0,0,0,3.9,1283,26.2,11.3,36.6,33.4,95,800,26.2,39.2,2.3,66,36.6,230,1,15,508,0,3040,0,0,1065.8,1,85,7.1,6.6,6.6,7.1,1070,1,0,5,7,0.7,1,0.9,0,0,20,78.1,1,9,B
819.2,0,11.3,0,28,0,17.6,3,0,0,0,3.9,1577,29.3,12.1,40.1,32.6,94,820,29.3,42,2,71.5,40.1,230,1,15,508,0,3040,0,0,1416.8,1,85,9.5,9,9.1,9.4,1421,1,0,5,9,0.7,1,0.9,-14.5,0.1,8,74.5,1,10,B
