Fuel_consumption,Accelerator_Pedal_value,Throttle_position_signal,Short_Term_Fuel_Trim_Bank1,Intake_air_pressure,Filtered_Accelerator_Pedal_value,Absolute_throttle_position,Engine_soacking_time,Inhibition_of_engine_fuel_cut_off,Engine_in_fuel_cut_off,Fuel_Pressure,Long_Term_Fuel_Trim_Bank1,Engine_speed,Engine_torque_after_correction,Torque_of_friction,Flywheel_torque_(after_torque_interventions),Current_spark_timing,Engine_coolant_temperature,Engine_Idel_Target_Speed,Engine_torque,Calculated_LOAD_value,Minimum_indicated_engine_torque,Maximum_indicated_engine_torque,Flywheel_torque,Torque_scaling_factor(standardization),Standard_Torque_Ratio,Requested_spark_retard_angle_from_TCU,TCU_requests_engine_torque_limit_(ETL),TCU_requested_engine_RPM_increase,Target_engine_speed_used_in_lock-up_module,Glow_plug_control_request,Activation_of_Air_compressor,Torque_converter_speed,Current_Gear,Transmission_oil_temperature,Wheel_velocity_front_left-hand,Wheel_velocity_rear_right-hand,Wheel_velocity_front_right-hand,Wheel_velocity_rear_left-hand,Torque_converter_turbine_speed_-_Unfiltered,Clutch_operation_acknowledge,Converter_clutch,Gear_Selection,Vehicle_speed,Acceleration_speed_-_Longitudinal,Indication_of_brake_switch_ON/OFF,Master_cylinder_pressure,Calculated_road_gradient,Acceleration_speed_-_Lateral,Steering_wheel_speed,Steering_wheel_angle,Trip,Time(s),Driver
524.8,0,8,-3.9,51,0,15.7,255,0,0,0,1.6,1029,22.7,22.7,-1.1,6.8,39,1020,22.7,40.4,2.3,67.6,-0.7,230,1,15,508,0,3040,0,1,964.3,0,31,0,0,0,0,964.8,1,0,0,0,-0.1,1,0.9,0,-0.1,0,14.2,3,1,C
486.4,0,8,-4.7,51,0,15.7,255,0,0,0,1.6,1026,22.3,22.7,-1.7,7.9,39,1020,22.7,39.6,2.3,67.6,-1.5,230,1,15,508,0,3040,0,1,960.5,0,31,0,0,0,0,961,1,0,0,0,-0.1,1,0.9,0,-0.1,0,14.1,3,2,C
486.4,0,8,-4.7,50,0,15.7,255,0,0,0,1.6,1022,22.7,22.7,-0.2,8.3,39,1020,22.7,39.2,2.3,67.2,-0.3,230,1,15,508,0,3040,0,1,957.5,0,31,0,0,0,0,958,1,0,0,0,-0.1,1,0.9,0,-0.1,0,13.8,3,3,C
486.4,0,8,-4.7,51,0,15.7,255,0,0,0,1.6,1006,23,22.7,0.4,7.5,40,1010,23,39.6,2.3,66.8,0.7,230,1,15,508,0,3040,0,1,940.3,0,31,0,0,0,0,940.8,1,0,0,0,-0.1,1,0.9,0,-0.1,0,13.9,3,4,C
473.6,0,8,-4.7,51,0,15.7,255,0,0,0,1.6,1006,22.7,22.7,1,6.8,40,1010,22.7,40,2.3,66.8,1.3,230,1,15,508,0,3040,0,1,940.8,0,31,0,0,0,0,941.3,1,0,0,0,-0.1,1,0.9,0,-0.1,0,13.8,3,5,C
486.4,0,7.5,-3.9,51,0,15.3,255,0,0,0,1.6,1013,22.3,21.9,-0.8,6.8,40,1010,22.3,39.6,2.3,67.2,-0.6,230,1,15,508,0,3040,0,1,948,0,31,0,0,0,0,948.8,1,0,0,0,-0.1,1,0.9,0,-0.1,0,14.2,3,6,C
473.6,0,8,-3.9,50,0,15.3,255,0,0,0,1.6,1004,22.7,21.9,1.1,7.5,40,1010,22.7,39.2,2.3,66.8,1.5,230,1,15,508,0,3040,0,1,939.8,0,31,0,0,0,0,940.3,1,0,0,0,-0.1,1,0.9,0,-0.1,0,14.1,3,7,C
473.6,0,8,-4.7,51,0,15.3,255,0,0,0,1.6,1001,22.7,21.9,3.1,7.9,41,1010,22.7,39.6,2.3,66.8,3,230,1,15,508,0,3040,0,1,936.3,0,31,0,0,0,0,936.8,1,0,0,0,-0.1,1,0.9,0,-0.1,0,14.1,3,8,C
486.4,0,8,-4.7,51,0,15.3,255,0,0,0,1.6,1007,22.7,21.9,0.7,7.1,41,1010,22.7,39.6,2.3,66.8,1.3,230,1,15,508,0,3040,0,1,941,0,31,0,0,0,0,941.8,1,0,0,0,-0.1,1,0.9,0,-0.1,0,13.9,3,9,C
486.4,0,8,-3.9,51,0,15.3,255,0,0,0,1.6,1008,22.3,21.5,0.8,6.8,41,1000,22.3,39.2,2.3,66.8,0.8,230,1,15,508,0,3040,0,1,943.3,0,31,0,0,0,0,943.5,1,0,0,0,-0.1,1,0.9,0,-0.1,0,14.2,3,10,C
