Fuel_consumption,Accelerator_Pedal_value,Throttle_position_signal,Short_Term_Fuel_Trim_Bank1,Intake_air_pressure,Filtered_Accelerator_Pedal_value,Absolute_throttle_position,Engine_soacking_time,Inhibition_of_engine_fuel_cut_off,Engine_in_fuel_cut_off,Fuel_Pressure,Long_Term_Fuel_Trim_Bank1,Engine_speed,Engine_torque_after_correction,Torque_of_friction,Flywheel_torque_(after_torque_interventions),Current_spark_timing,Engine_coolant_temperature,Engine_Idel_Target_Speed,Engine_torque,Calculated_LOAD_value,Minimum_indicated_engine_torque,Maximum_indicated_engine_torque,Flywheel_torque,Torque_scaling_factor(standardization),Standard_Torque_Ratio,Requested_spark_retard_angle_from_TCU,TCU_requests_engine_torque_limit_(ETL),TCU_requested_engine_RPM_increase,Target_engine_speed_used_in_lock-up_module,Glow_plug_control_request,Activation_of_Air_compressor,Torque_converter_speed,Current_Gear,Transmission_oil_temperature,Wheel_velocity_front_left-hand,Wheel_velocity_rear_right-hand,Wheel_velocity_front_right-hand,Wheel_velocity_rear_left-hand,Torque_converter_turbine_speed_-_Unfiltered,Clutch_operation_acknowledge,Converter_clutch,Gear_Selection,Vehicle_speed,Acceleration_speed_-_Longitudinal,Indication_of_brake_switch_ON/OFF,Master_cylinder_pressure,Calculated_road_gradient,Acceleration_speed_-_Lateral,Steering_wheel_speed,Steering_wheel_angle,Trip,Time(s),Driver
652.8,0,7.1,0,56,0,14.9,8,0,0,0,2.3,1200,14.8,12.1,-22.9,-7.9,86,630,13.3,45.1,2.3,63.7,-23,230,1,15,508,0,3040,0,0,1113.8,0,81,0,0,0,0,1126.8,1,0,0,0,0.1,2,33,0,-6.3,320,10.8,1,1,F
320,0,6.1,0,32,0,14.1,8,0,0,0,2.3,1090,4.3,12.5,-15.7,-3,86,650,4.7,21.6,2.3,62.9,-15.4,230,1,15,508,0,3040,0,0,1095.8,0,81,0,0,0,0,1092.5,1,0,0,0,-5.6,2,392.2,0,-5.8,0,10.9,1,2,F
268.8,0,6.6,0,35,0,14.5,8,0,0,0,2.3,864,5.5,11.7,-15.1,-4.5,86,670,5.9,25.5,2,58.2,-15.3,230,1,15,508,0,3040,0,0,844.5,0,81,0,0,0,0,843.5,1,0,0,0,0.1,2,36.6,0,-0.1,0,10.9,1,3,F
243.2,0,6.1,0,37,0,14.1,8,0,0,0,2.3,774,4.7,10.9,-14.6,-8.6,86,670,4.7,26.7,2,55.9,-14.4,230,1,15,508,0,3040,0,0,753,0,81,0,0,0,0,752.8,1,0,0,0,0.1,2,35.4,0,-0.1,0,10.9,1,4,F
230.4,0,6.1,0,38,0,14.1,8,0,0,0,2.3,731,5.9,12.9,-20.5,-6.4,86,670,5.9,27.1,2,55.5,-20.7,230,1,15,508,0,3040,0,1,707.8,0,81,0,0,0,0,708.5,1,0,0,0,0.1,2,35.4,0,-0.1,0,11.3,1,5,F
256,0,6.6,0,38,0,14.5,8,0,0,0,2.3,817,8.6,18,-21.5,0.4,86,670,8.6,27.8,2,56.6,-21.7,230,1,15,508,0,3040,0,1,794.5,0,81,0,0,0,0,795.5,1,0,0,0,0.1,2,35.4,0,-0.1,0,10.5,1,6,F
230.4,0,6.6,0,41,0,14.5,8,0,0,0,2.3,697,10.9,18,-9.9,2.3,85,670,10.9,30.6,2,55.1,-9.7,230,1,15,508,0,3040,0,1,677,0,81,0,0,0,0,676,1,0,0,0,0.1,2,35.2,0,-0.1,0,10.6,1,7,F
294.4,0,7.5,0,53,0,15.3,8,0,0,0,2.3,636,17.6,19.5,0.9,4.5,85,670,17.6,41.6,2,54.3,0.7,230,1,15,508,0,3040,0,1,602,1,81,0,0,0,0,601.3,1,0,5,0,0.1,2,35.1,11.5,-0.1,0,10.8,1,8,F
371.2,0,7.5,0,62,0,15.3,8,0,0,0,2.3,643,23.4,21.1,7.2,1.9,85,670,23.4,51.4,2,54.3,7.4,230,1,15,508,0,3040,0,1,166.8,1,81,0,0,0,0,167,1,0,5,0,0.1,2,34,0,-0.1,4,8.5,1,9,F
409.6,0,8.5,0,67,0,15.7,8,0,0,0,2.3,651,25.8,22.3,7.5,1.1,84,670,25.8,55.3,2,54.3,7.5,230,1,15,508,0,3040,0,1,0,1,81,0,0,0,0,0,1,0,5,0,0.1,2,32.9,0,-0.1,0,8.4,1,10,F
422.4,0,8.5,0,68,0,16.1,8,0,0,0,2.3,663,25.4,22.7,5.1,-1.1,84,670,25.8,56.9,2,54.3,5.6,230,1,15,508,0,3040,0,1,0,1,81,0,0,0,0,0,1,0,5,0,0.1,2,34.6,0,-0.1,0,8.4,1,11,F
422.4,0,8.5,0,68,0,16.1,8,0,0,0,2.3,662,25.4,22.7,5.1,-1.1,84,670,25.4,56.9,2,54.3,5.7,230,1,15,508,0,3040,0,1,0,1,81,0,0,0,0,0,1,0,5,0,0.1,2,34.6,0,-0.1,0,8,1,12,F
409.6,0,8.5,0,67,0,15.7,8,0,0,0,2.3,663,25,21.9,6.4,-1.5,84,670,25,56.1,2,54.3,6.3,230,1,15,508,0,3040,0,1,0,1,81,0,0,0,0,0,1,0,5,0,0.1,2,34.5,0,-0.1,0,8.3,1,13,F
409.6,0,8,0,67,0,15.7,8,0,0,0,2.3,659,25,21.5,10.3,-1.1,84,670,25,55.7,2,54.3,10.2,230,1,15,508,0,3040,0,1,0,1,81,0,0,0,0,0,1,0,5,0,0.1,2,34.5,0,-0.1,0,8.2,1,14,F
409.6,0,8.5,0,66,0,15.7,8,0,0,0,2.3,658,25,20.7,9.7,-0.8,84,670,25,55.3,2,54.3,9.5,230,1,15,508,0,3040,0,1,0,1,81,0,0,0,0,0,1,0,5,0,0.1,2,34.4,0,-0.1,0,8.1,1,15,F
409.6,0,8.5,0,66,0,15.7,8,0,0,0,2.3,665,25,21.1,8.4,-0.8,83,670,25,55.3,2,54.3,8.7,230,1,15,508,0,3040,0,1,0,1,81,0,0,0,0,0,1,0,5,0,0.1,2,34.3,0,-0.1,0,8.3,1,16,F
422.4,0,8.5,0.8,66,0,15.7,8,0,0,0,2.3,673,24.2,21.5,6.8,-1.1,83,670,24.6,54.9,2,54.7,7.1,230,1,15,508,0,3040,0,1,0,1,81,0,0,0,0,0,1,0,5,0,0.1,2,34.3,0,-0.1,0,7.7,1,17,F
435.2,0,8,0.8,66,0,15.7,8,0,0,0,2.3,671,24.2,21.1,6.5,-1.1,83,670,24.6,54.5,2,54.7,6.9,230,1,15,508,0,3040,0,1,0,1,81,0,0,0,0,0,1,0,5,0,0.1,2,34.3,0,-0.1,0,7.3,1,18,F
409.6,0,8,0.8,65,0,15.7,8,0,0,0,2.3,673,23.8,20.7,7.7,-1.5,83,670,23.8,54.1,2,54.7,7.5,230,1,15,508,0,3040,0,1,0,1,81,0,0,0,0,0,1,0,5,0,0.1,2,34.3,0,-0.1,0,7.3,1,19,F
396.8,0,8,0.8,64,0,15.7,8,0,0,0,2.3,670,23.8,20.7,7.5,-1.1,83,670,23.8,53.7,2,54.7,7.8,230,1,15,508,0,3040,0,1,0,1,80,0,0,0,0,0,1,0,5,0,0.1,2,34.3,0,-0.1,0,7.6,1,20,F
384,0,8,0.8,65,0,15.7,8,0,0,0,2.3,664,23.8,20.3,7.7,-1.1,83,670,23.8,53.7,2,54.7,8.2,230,1,15,508,0,3040,0,1,0,1,80,0,0,0,0,0,1,0,5,0,0.1,2,34.3,0,-0.1,0,7.6,1,21,F
384,0,8,0.8,65,0,15.3,8,0,0,0,2.3,667,23.8,19.9,6.1,-1.1,83,670,23.8,53.7,2,54.7,6.7,230,1,15,508,0,3040,0,1,0,1,80,0,0,0,0,0,1,0,5,0,0.1,2,34.3,0,-0.1,0,7,1,22,F
409.6,0,8,0.8,64,0,15.3,8,0,0,0,2.3,666,23.8,19.9,8.1,-1.1,83,670,23.8,53.3,2,54.7,8.2,230,1,15,508,0,3040,0,1,0,1,80,0,0,0,0,0,1,0,5,0,0.1,2,34.4,0,-0.1,0,7.8,1,23,F
