Fuel_consumption,Accelerator_Pedal_value,Throttle_position_signal,Short_Term_Fuel_Trim_Bank1,Intake_air_pressure,Filtered_Accelerator_Pedal_value,Absolute_throttle_position,Engine_soacking_time,Inhibition_of_engine_fuel_cut_off,Engine_in_fuel_cut_off,Fuel_Pressure,Long_Term_Fuel_Trim_Bank1,Engine_speed,Engine_torque_after_correction,Torque_of_friction,Flywheel_torque_(after_torque_interventions),Current_spark_timing,Engine_coolant_temperature,Engine_Idel_Target_Speed,Engine_torque,Calculated_LOAD_value,Minimum_indicated_engine_torque,Maximum_indicated_engine_torque,Flywheel_torque,Torque_scaling_factor(standardization),Standard_Torque_Ratio,Requested_spark_retard_angle_from_TCU,TCU_requests_engine_torque_limit_(ETL),TCU_requested_engine_RPM_increase,Target_engine_speed_used_in_lock-up_module,Glow_plug_control_request,Activation_of_Air_compressor,Torque_converter_speed,Current_Gear,Transmission_oil_temperature,Wheel_velocity_front_left-hand,Wheel_velocity_rear_right-hand,Wheel_velocity_front_right-hand,Wheel_velocity_rear_left-hand,Torque_converter_turbine_speed_-_Unfiltered,Clutch_operation_acknowledge,Converter_clutch,Gear_Selection,Vehicle_speed,Acceleration_speed_-_Longitudinal,Indication_of_brake_switch_ON/OFF,Master_cylinder_pressure,Calculated_road_gradient,Acceleration_speed_-_Lateral,Steering_wheel_speed,Steering_wheel_angle,Trip,Time(s),Driver
524.8,0,6.6,0,58,0,14.5,3,0,0,0,0.8,1068,18,10.9,-18.5,-6.8,91,630,14.5,47.8,2.3,61.7,-18.5,230,1,15,508,0,3040,0,0,977,0,86,0,0,0,0,989,1,0,0,0,0,2,21.7,0,-6.3,328,14.8,1,1,G
281.6,0,6.6,0,33,0,14.1,3,0,0,0,1.6,982,5.9,11.3,-10.9,-5.3,91,640,5.9,23.1,2,60.5,-10.6,230,1,15,508,0,3040,0,0,986.5,0,86,0,0,0,0,983.3,1,0,0,0,-4.7,2,187.1,0,-4.7,0,14.8,1,2,G
268.8,0,6.6,0,40,0,14.5,3,0,0,0,1.6,785,6.6,10.2,-10,-10.9,91,670,6.6,30.6,2,55.9,-9.7,230,1,15,508,0,3040,0,0,765.5,0,86,0,0,0,0,764.8,1,0,0,0,0,2,28.9,0,0,0,14.8,1,3,G
256,0,6.6,0,43,0,14.5,3,0,0,0,1.6,700,7.4,9.4,-6.4,-12,91,670,7.8,32.9,2,54.7,-6.1,230,1,15,508,0,3040,0,0,677.5,0,86,0,0,0,0,677.8,1,0,0,0,0,2,29,0,0,0,14.8,1,4,G
243.2,0,6.1,0,41,0,14.1,3,0,0,0,1.6,694,7.8,10.5,-10.8,-10.5,91,670,7.8,31.4,2,54.3,-10.8,230,1,15,508,0,3040,0,1,669.3,0,86,0,0,0,0,670,1,0,0,0,0,2,29.1,0,0,0,14.5,1,5,G
243.2,0,6.6,0,43,0,14.1,3,0,0,0,1.6,705,9,14.5,-14.6,-8.3,91,670,9,32.2,2,54.7,-14.2,230,1,15,508,0,3040,0,1,681.8,0,86,0,0,0,0,682.3,1,0,0,0,0,2,28.9,0,0,0,14.6,1,6,G
243.2,0,6.6,0,45,0,14.5,3,0,0,0,1.6,659,13.3,16,-2.9,-0.8,91,670,13.3,34.9,2,53.9,-2.7,230,1,15,508,0,3040,0,1,636.5,0,86,0,0,0,0,636.5,1,0,0,0,0,2,28.6,0,0,0,14.6,1,7,G
268.8,0,7.1,0,52,0,14.5,3,0,0,0,1.6,630,18.4,17.2,4.8,4.5,90,670,18.4,40.8,2,53.9,4.7,230,1,15,508,0,3040,0,1,605.5,0,86,0,0,0,0,606,1,0,0,0,0,2,27.4,0,0,0,14.7,1,8,G
332.8,0,7.1,0,57,0,14.9,3,0,0,0,1.6,644,20.7,18.8,3.9,0.8,90,670,20.7,46.3,2,53.9,4.2,230,1,15,508,0,3040,0,1,619.8,0,86,0,0,0,0,620.5,1,0,0,0,0,2,26.8,0,0,0,14.8,1,9,G
345.6,0,8,0,60,0,15.3,3,0,0,0,1.6,663,20.7,19.9,-2.7,-1.5,90,670,20.7,48.6,2,53.9,-2.9,230,1,15,508,0,3040,0,1,636.8,14,86,0,0,0,0,637.5,1,0,7,0,0,2,26.7,-6.5,0,0,14.8,1,10,G
